postcode,city,state,state_code
33500,Sauk,Perak,PRK
34100,Selama,Perak,PRK
34120,Selama,Perak,PRK
34130,Selama,Perak,PRK
36200,Selekoh,Perak,PRK
36207,Selekoh,Perak,PRK
36209,Selekoh,Perak,PRK
32040,Seri Manjung,Perak,PRK
32050,Seri Manjung,Perak,PRK
34700,Simpang,Perak,PRK
34400,Simpang Ampat Semanggol,Perak,PRK
32000,Sitiawan,Perak,PRK
32010,Sitiawan,Perak,PRK
32020,Sitiawan,Perak,PRK
35800,Slim River,Perak,PRK
35820,Slim River,Perak,PRK
31050,Sungai Siput,Perak,PRK
31100,Sungai Siput,Perak,PRK
31120,Sungai Siput,Perak,PRK
36300,Sungai Sumun,Perak,PRK
36307,Sungai Sumun,Perak,PRK
36309,Sungai Sumun,Perak,PRK
35600,Sungkai,Perak,PRK
32100,TLDM Lumut,Perak,PRK
34000,Taiping,Perak,PRK
34007,Taiping,Perak,PRK
34008,Taiping,Perak,PRK
34009,Taiping,Perak,PRK
34010,Taiping,Perak,PRK
34020,Taiping,Perak,PRK
34030,Taiping,Perak,PRK
35900,Tanjong Malim,Perak,PRK
35907,Tanjong Malim,Perak,PRK
35909,Tanjong Malim,Perak,PRK
35910,Tanjong Malim,Perak,PRK
34250,Tanjong Piandang,Perak,PRK
31250,Tanjong Rambutan,Perak,PRK
31800,Tanjong Tualang,Perak,PRK
35000,Tapah,Perak,PRK
35007,Tapah,Perak,PRK
35009,Tapah,Perak,PRK
35400,Tapah Road,Perak,PRK
36000,Teluk Intan,Perak,PRK
36007,Teluk Intan,Perak,PRK
36008,Teluk Intan,Perak,PRK
36009,Teluk Intan,Perak,PRK
36010,Teluk Intan,Perak,PRK
36020,Teluk Intan,Perak,PRK
36030,Teluk Intan,Perak,PRK
36110,Teluk Intan,Perak,PRK
35350,Temoh,Perak,PRK
35700,Trolak,Perak,PRK
34800,Trong,Perak,PRK
31750,Tronoh,Perak,PRK
36500,Ulu Bernam,Perak,PRK
31150,Ulu Kinta,Perak,PRK
31199,Ulu Kinta,Perak,PRK
